,Facility Code,Facility Name,County,Type,Owner,Location,Sub Location,Constituency,Open 24 Hours,Open Weekends,Operational Status
2508,19562,Abraham Memorial Nursing Home (Westlands),Nairobi,Maternity Home,Private Enterprise (Institution),Kangemi,kangemi,WESTLANDS,Y,Y,Operational
2512,19980,Acacia Clinic (Kilimani),Nairobi,Medical Clinic,Private Practice - General Practitioner,,,DAGORETTI NORTH,N,Y,Operational
2513,19413,Acacia Medical Centre (Nairobi),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
2516,19467,Access Afya,Nairobi,Medical Clinic,Private Practice - General Practitioner,Mukuru Nyayo,Mukuru Nyayo,STAREHE,N,Y,Operational
2517,21158,Access Afya Medical Centre Viwandani,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Viwandani,Lunga lunga,MAKADARA,N,Y,Operational
2544,20360,Maximum medical centre,Nairobi,Medical Clinic,Private Practice - Unspecified,kasarani,maji mazuri,KASARANI,N,Y,Operational
2549,13079,Mayflower Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Mukuru,Kwa Njenga,EMBAKASI SOUTH,N,N,Operational
2550,21271,Maylaurels Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Embakasi,Utawala,EMBAKASI EAST,Y,Y,Operational
2563,13080,Mbagathi District Hospital,Nairobi,District Hospital,Ministry of Health,Golfcourse,,KIBRA,Y,Y,Operational
2604,13081,Mbotela Clinic,Nairobi,Medical Clinic,Local Authority,Maringo,Mbotela,MAKADARA,N,N,Operational
2629,19482,Medanta Africare,Nairobi,Medical Centre,Private Practice - General Practitioner,Parklands,,WESTLANDS,N,Y,Operational
2630,20573,Medanta AfriCare krishna Park,Nairobi,Laboratory (Stand-alone),Private Practice - Medical Specialist,Parklands,Ist Avenue,WESTLANDS,N,Y,Operational
2631,19505,Medanta Africare Medical Centre,Nairobi,Medical Centre,Private Enterprise (Institution),Westlands,,WESTLANDS,N,Y,Operational
2632,20451,Medecins Du Monde/France (Kangemi Kang'ora),Nairobi,Health Programme,Humanitarian Agencies,Kang'ora,Kang'ora,WESTLANDS,N,N,Operational
2634,19099,Medical and Dental Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Karen,Karen,LANG'ATA,N,Y,Operational
2636,19496,Medical Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Kangemi,,WESTLANDS,N,Y,Operational
2639,13082,Medical Reception Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Roysambu,,ROYSAMBU,N,N,Operational
2643,13083,Medicare Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Central Business District,,STAREHE,N,N,Operational
2649,19525,Medimark Health Care,Nairobi,Medical Clinic,Private Practice - General Practitioner,Parklands,,WESTLANDS,N,Y,Operational
2654,19519,Medisafe Medical Labaratoty,Nairobi,Laboratory (Stand-alone),Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
2660,13085,Med-Point Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kahawa,,KASARANI,N,N,Operational
2666,13086,Melchezedek Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,Y,Y,Operational
2667,20072,Melchizedek Hospital Karen,Nairobi,Medical Clinic,Private Enterprise (Institution),Karen,Karen,LANG'ATA,N,Y,Operational
2674,13087,Memorial Hospital,Nairobi,Other Hospital,Armed Forces,Golfcourse,,KIBRA,N,N,Operational
2676,19959,Menelik Chest Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,,KILIMANI,DAGORETTI NORTH,N,Y,Operational
2685,13088,Mercillin Afya Centre,Nairobi,Maternity Home,Community,Kibra,Lindi,KIBRA,Y,Y,Operational
2700,19319,Mercy Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
2701,13089,Mercy Mission Health Centre,Nairobi,Health Centre,Other Faith Based,Kawangware,,DAGORETTI NORTH,Y,Y,Operational
2709,13109,Meridian Equator Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Nairobi West,Nairobi West,LANG'ATA,Y,Y,Operational
2712,19546,Meridian Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,,Kilimani,DAGORETTI NORTH,N,Y,Operational
2713,13084,Meridian Medical Centre (Buruburu),Nairobi,Medical Clinic,Private Enterprise (Institution),Makadara,Uhuru,MAKADARA,N,Y,Operational
2714,18591,Meridian Medical Centre (Capital Centre),Nairobi,Medical Clinic,Private Practice - General Practitioner,Mukuru Nyayo,South B,STAREHE,N,Y,Operational
2715,19395,Meridian Medical Centre (Loita Street),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
2718,19550,Meridian Medical Centre (Penson Towers),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
2724,20104,Meridian Medical centre(Nation Centre Bldg ),Nairobi,Medical Centre,Private Practice - General Practitioner,City Centre,Central,STAREHE,N,Y,Operational
2726,17727,Meridian Medical Donholm Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Umoja,Donholm,EMBAKASI WEST,Y,Y,Operational
2765,19463,Metropolitan Dr Plaza,Nairobi,Medical Clinic,Private Practice - General Practitioner,Harambee,Harambee,MAKADARA,N,N,Operational
2766,13090,Metropolitan Hospital Nairobi,Nairobi,Other Hospital,Private Enterprise (Institution),Makadara,Harambee,MAKADARA,Y,Y,Operational
2784,20583,Microbiology Reference Lab,Nairobi,Laboratory (Stand-alone),Ministry of Health,,,KIBRA,N,N,Operational
2785,13091,Mid Hill Medical Clinic,Nairobi,Health Centre,Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,Y,Y,Operational
2792,19633,Mid-Point Health Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Roysambu,Roysambu,ROYSAMBU,N,Y,Operational
2828,20018,Milele Integrated Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,Y,Y,Operational
2831,20537,Miliki Afya Limited,Nairobi,Medical Clinic,Private Practice - General Practitioner,Riruta,,DAGORETTI SOUTH,N,Y,Operational
2837,19478,Millenium Dental Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Makadara,Harambee,MAKADARA,N,Y,Operational
2842,13092,Ministry of Education (Moest) VCT Centre,Nairobi,VCT Centre (Stand-Alone),Other Public Institution,Central Business District,,STAREHE,N,N,Operational
2903,13093,Mji Wa Huruma Dispensary,Nairobi,Dispensary,Local Authority,Runda,,WESTLANDS,N,N,Operational
2909,13094,Mkunga Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Dandora,Dandora,KASARANI,N,N,Operational
2957,13095,Moi Air Base Hospital,Nairobi,Other Hospital,Ministry of Health,Eastleigh Section I,,KAMUKUNJI,N,N,Operational
3023,13096,Mother & Child Hospital,Nairobi,Dispensary,Private Enterprise (Institution),Eastleigh Section 111,,KAMUKUNJI,Y,Y,Operational
3024,19277,Mother & Child Meridian & Lab Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
3028,17724,Mother Ippolata Mukuru Clinic,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Mukuru,Imara Daima,EMBAKASI SOUTH,N,N,Operational
3043,13097,Mow Dispensary,Nairobi,Dispensary,Other Public Institution,Viwandani,Landi Mawe,STAREHE,N,N,Operational
3050,13098,Mp Shah Hospital (Westlands),Nairobi,Other Hospital,Private Enterprise (Institution),Parklands,,WESTLANDS,Y,Y,Operational
3071,20049,Msf- Green House Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Eastleigh,,KAMUKUNJI,N,Y,Operational
3072,20050,Msf- Lavender House Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Eastleigh,,KAMUKUNJI,,,Operational
3073,17651,Msf Olympic Centre,Nairobi,Medical Clinic,Non-Governmental Organizations,Sarang'ombe,,KIBRA,N,Y,Operational
3101,17455,Mtaani VCT,Nairobi,VCT Centre (Stand-Alone),Community,Laini saba,Soweto Highrise,KIBRA,N,Y,Operational
3125,13025,Kesha VCT,Nairobi,VCT Centre (Stand-Alone),Private Enterprise (Institution),Kawangware,,DAGORETTI NORTH,N,N,Operational
3196,13037,Kmtc Dispensary,Nairobi,VCT Centre (Stand-Alone),Ministry of Health,Golfcourse,,KIBRA,N,N,Operational
3213,20621,Kianda 42 Community Clinic,Nairobi,Dispensary,Ministry of Health,Sarang'ombe,Kianda,KIBRA,N,N,Operational
3271,20325,Kibera CFW Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Sarang'ombe,Olympic,KIBRA,N,N,Operational
3272,12894,Kibera Chemi Chemi Ya Uzima Clinic,Nairobi,Dispensary,Christian Health Association of Kenya,Kibera,Makina,KIBRA,N,Y,Operational
3273,13028,Kibera Community Health Centre - Amref,Nairobi,Health Centre,Non-Governmental Organizations,Laini Saba,Laini Saba,KIBRA,N,Y,Operational
3275,13029,Kibera D O Dispensary,Nairobi,Dispensary,Ministry of Health,Kibera,Makina,KIBRA,N,N,Operational
3276,18984,Kibera Highway Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Lindi,Lindi,KIBRA,N,Y,Operational
3277,13026,Kibera Human Development Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Kibera,Makina,KIBRA,N,N,Operational
3278,13030,Kibera South (Msf Belgium) Health Centre,Nairobi,Health Centre,Non-Governmental Organizations,Kibera,Lindi,KIBRA,N,N,Operational
3279,21083,Kibera Ubuntu Afya Medical Centre,Nairobi,Medical Centre,Private Practice - General Practitioner,,,KIBRA,N,,Operational
3328,13031,Kie/Kapc,Nairobi,VCT Centre (Stand-Alone),Other Public Institution,Central Business District,,STAREHE,N,N,Operational
3394,13033,Kikoshep Kenya (Mugumoini),Nairobi,Medical Clinic,Non-Governmental Organizations,Mugumoini,Mugumoini,LANG'ATA,N,N,Operational
3412,13002,Kapu Medical Clinic,Nairobi,VCT Centre (Stand-Alone),Ministry of Health,Embakasi,Utawala,EMBAKASI EAST,N,N,Operational
3515,20625,Karanja Road Community Clinic,Nairobi,Dispensary,Ministry of Health,Kibera,Makina,KIBRA,N,N,Operational
3535,13003,Karen Health Centre,Nairobi,Dispensary,Local Authority,Karen,Karen,LANG'ATA,N,N,Operational
3539,19100,Karengata Community Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Lang'ata,Lang'ata,LANG'ATA,N,N,Operational
3547,13005,Kari Health Clinic,Nairobi,Medical Clinic,Ministry of Health,Kitusuru,,WESTLANDS,N,N,Operational
3565,18743,Kariobangi EDARP,Nairobi,Dispensary,Kenya Episcopal Conference-Catholic Secretariat,Kariobangi,Kariobangi,KASARANI,N,Y,Operational
3566,13006,Kariobangi Health Centre,Nairobi,Dispensary,Local Authority,Kariobangi,,KASARANI,N,N,Operational
3567,17434,Kariobangi South Clinic,Nairobi,Medical Clinic,Local Authority,Kariobangi South,Kariobangi South,EMBAKASI WEST,N,N,Operational
3568,13007,Kariokor Clinic,Nairobi,Dispensary,Local Authority,Kariokor,Ziwani,STAREHE,N,N,Operational
3573,13008,Karma Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Ruaraka,,KASARANI,N,N,Operational
3574,17995,Karomo Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kariobangi South,Light Industries,KASARANI,N,N,Operational
3585,13009,Karura Health Centre (Kiambu Rd),Nairobi,Health Centre,Local Authority,Muthaiga,,WESTLANDS,N,N,Operational
3597,17948,Kasarani Claycity Medical Centre (Kasarani),Nairobi,Dispensary,Private Practice - Unspecified,Kasarani,Kasarani,KASARANI,Y,Y,Operational
3599,13010,Kasarani Health Centre,Nairobi,Dispensary,Local Authority,Kariobangi,Kasarani,KASARANI,N,N,Operational
3600,13011,Kasarani Maternity,Nairobi,Maternity Home,Private Practice - Nurse / Midwife,Kasarani,,KASARANI,Y,Y,Operational
3603,13012,Kasarani Medical Health Centre,Nairobi,Health Centre,Private Enterprise (Institution),Kasarani,near hunters,KASARANI,N,N,Operational
3631,13034,Kilimanjaro Nursing Home,Nairobi,Nursing Home,Private Enterprise (Institution),Eastleigh Section I,,KAMUKUNJI,N,N,Operational
3738,19513,Kawangware Health Centre,Nairobi,Dispensary,Private Enterprise (Institution),Kawagware,kawagware,DAGORETTI NORTH,N,N,Operational
3765,12996,Kahawa Garrison Health Centre,Nairobi,Health Centre,Ministry of Health,Kasarani,,ROYSAMBU,N,N,Operational
3767,12997,Kahawa West Health Centre,Nairobi,Health Centre,Local Authority,kahawa,kongo soweto,ROYSAMBU,N,N,Operational
3821,19541,Kaka Medical Centre (Race Course Rd),Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,N,Operational
3891,12998,Kaloleni Dispensary,Nairobi,Dispensary,Local Authority,Makogeni,Kaloleni,MAKADARA,N,N,Operational
3892,12999,Kaloleni Health Servics,Nairobi,Medical Clinic,Private Enterprise (Institution),Makogeni,Kaloleni,MAKADARA,Y,Y,Operational
3904,13014,Kayole Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Kayole,Kayole,EMBAKASI CENTRAL,Y,Y,Operational
3905,13015,Kayole I Health Centre,Nairobi,Health Centre,Local Authority,Kayole,Kayole,EMBAKASI CENTRAL,N,N,Operational
3906,13016,Kayole II Sub-District Hospital,Nairobi,Health Centre,Local Authority,Kayole,Kayole,EMBAKASI CENTRAL,Y,Y,Operational
3964,19488,Kamili Organization,Nairobi,Medical Clinic,Non-Governmental Organizations,Kitisuru,,WESTLANDS,Y,N,Operational
3967,18942,Kamiti Maximum Clinic,Nairobi,Medical Clinic,Ministry of Health,Kahawa,Kahawa,ROYSAMBU,N,Y,Operational
3968,13000,Kamiti Prison Hospital,Nairobi,Other Hospital,Ministry of Health,Ruaraka,,ROYSAMBU,N,N,Operational
4018,19369,Kamwitha Medcal Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Zimmerman,ROYSAMBU,N,Y,Operational
4049,19536,Kangemi Gichagi Dispensary,Nairobi,Dispensary,Private Practice - Clinical Officer,Kangemi,,WESTLANDS,Y,Y,Operational
4050,13001,Kangemi Health Centre,Nairobi,Health Centre,Local Authority,Kangemi,Kangemi,WESTLANDS,N,N,Operational
4100,20095,Kipawa Medical Centre,Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Ruai,Ruai,KASARANI,N,Y,Operational
4133,18488,Jacaranda Special School,Nairobi,Training Institution in Health (Stand-alone),Other Public Institution,kileleshwa,,DAGORETTI NORTH,N,N,Operational
4142,12983,Imperial Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Ngara,,STAREHE,N,N,Operational
4146,19333,Index Medical Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,MATHARE,N,Y,Operational
4152,19458,Innercore Medical Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Umoja,Umoja One,EMBAKASI WEST,N,Y,Operational
4154,18002,Innoculation Centre,Nairobi,Dispensary,Local Authority,Central Business District,,STAREHE,N,N,Operational
4164,20158,IOM International Organization for migration(girigiri),Nairobi,Health Programme,Humanitarian Agencies,Girigiri,Girigiri,WESTLANDS,,,Operational
4165,19471,Iom Wellness Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Eastleigh North,Eastleigh,KAMUKUNJI,N,N,Operational
4173,20227,Iran Medical Clinic,Nairobi,Dispensary,Non-Governmental Organizations,Woodley,Adams,KIBRA,N,N,Operational
4174,19421,Iran Medical Clinic (Ngara),Nairobi,Medical Clinic,Private Practice - Unspecified,Ngara ,Ngara West,STAREHE,N,N,Operational
4216,21223,Jalaram Medical Services,Nairobi,Medical Clinic,Other Faith Based,,,WESTLANDS,,Y,Operational
4220,12984,Jamaa Mission Hospital,Nairobi,Other Hospital,Kenya Episcopal Conference-Catholic Secretariat,Makadara,Harambee,MAKADARA,Y,Y,Operational
4233,12985,Jamii Clinic (Westlands),Nairobi,Medical Clinic,Private Enterprise (Institution),Kikuyu,,WESTLANDS,N,N,Operational
4251,19446,Jamii Medical Clinic Mukuru,Nairobi,Medical Clinic,Private Practice - Unspecified,,Mukuru,EMBAKASI SOUTH,Y,Y,Operational
4253,12986,Jamii Medical Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Githurai,,ROYSAMBU,N,N,Operational
4255,19433,Jamii Yadah Medical Centre,Nairobi,Health Centre,Private Practice - General Practitioner,Utawala,Utawala,EMBAKASI EAST,N,Y,Operational
4269,20064,Jeffrey Medical & Diagnostic Centre,Nairobi,Dispensary,Private Practice - General Practitioner,Kawangware,Kawangware,DAGORETTI NORTH,N,Y,Operational
4276,19490,Jellin Medical Clinic,Nairobi,Dispensary,Private Practice - Nurse / Midwife,Kawagware,,DAGORETTI NORTH,N,Y,Operational
4283,12988,Jericho Health Centre,Nairobi,Dispensary,Local Authority,Jericho-Lumumba,Jericho,MAKADARA,Y,Y,Operational
4285,12989,Jerusalem Clinic,Nairobi,Medical Clinic,Local Authority,Bahati,,EMBAKASI WEST,N,N,Operational
4289,19548,Jesus Is Alive Dental Clinic (Nairobi),Nairobi,Dental Clinic,Private Practice - Unspecified,Central,Central,STAREHE,,,Operational
4293,18672,Jeytee,Nairobi,Medical Clinic,Private Enterprise (Institution),kasarani,Kasarani,KASARANI,N,N,Operational
4300,12990,Jinnah Ave Clinic,Nairobi,Dispensary,Local Authority,Nairobi West,South C,LANG'ATA,N,N,Operational
4303,12991,Jkia Health Centre,Nairobi,Health Centre,Ministry of Health,Embakasi,Embakasi,EMBAKASI EAST,Y,Y,Operational
4309,17650,Johanna Justin-Jinich Community Clinic (Kibera),Nairobi,Medical Clinic,Non-Governmental Organizations,Sarang'ombe,Gatwekera,KIBRA,N,Y,Operational
4346,18594,Joy Nursing Home and Maternity,Nairobi,Nursing Home,Private Practice - General Practitioner,Eastleigh North,Eastleigh North,KAMUKUNJI,Y,Y,Operational
4353,19398,Jozi Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,zimmerman,ROYSAMBU,N,Y,Operational
4357,12992,Juhudi Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Makogeni,Makogeni,MAKADARA,N,N,Operational
4360,19318,Juja Road Hospital (Nairobi),Nairobi,Other Hospital,Private Enterprise (Institution),Kariokor,Pangani,STAREHE,Y,Y,Operational
4368,18407,Just Meno Limited,Nairobi,Medical Clinic,Private Practice - General Practitioner,Harambee,Buruburu,MAKADARA,N,Y,Operational
4403,12993,Kabete Approved School Dispensary,Nairobi,Dispensary,Ministry of Health,Lower Kabete,,WESTLANDS,N,N,Operational
4404,12994,Kabete Barracks Dispensary,Nairobi,Dispensary,Armed Forces,L/Kabete,,WESTLANDS,N,N,Operational
4416,12995,Kabiro Medical Clinic,Nairobi,Health Centre,Non-Governmental Organizations,Kawangware,,DAGORETTI NORTH,Y,Y,Operational
4459,19528,Green Croos Medical and Dental Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kangemi,,WESTLANDS,Y,Y,Operational
4460,19895,Green Cross Medical Clinic,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Laini saba,Silanga,LANG'ATA,N,Y,Operational
4469,12961,Gsu Dispensary (Nairobi West),Nairobi,Dispensary,Ministry of Health,Kibera,Makina,LANG'ATA,N,N,Operational
4472,12963,Gsu Hq Dispensary (Ruaraka),Nairobi,Dispensary,Other Public Institution,Roysambu,,ROYSAMBU,N,N,Operational
4473,12962,GSUTraining School,Nairobi,Health Centre,Ministry of Health,Embakasi,Embakasi,EMBAKASI EAST,N,N,Operational
4484,12965,Guru Nanak Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Ngara,,STAREHE,N,N,Operational
4492,12966,Gynapaed Dispensary (Kilimani-),Nairobi,Dispensary,Private Enterprise (Institution),Kilimani,,DAGORETTI NORTH,N,N,Operational
4501,12967,Hakati Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Kayole,Embakasi,EMBAKASI CENTRAL,N,N,Operational
4505,19610,Hallal Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,KAMUKUNJI,N,Y,Operational
4511,19472,Hamza Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Makadara,Hamza,MAKADARA,Y,Y,Operational
4528,19566,Hazina Medical Clinic,Nairobi,Medical Clinic,Private Practice - Medical Specialist,Central,Central,STAREHE,N,Y,Operational
4530,19497,Health Care Services,Nairobi,Medical Clinic,Private Practice - General Practitioner,,,MAKADARA,N,Y,Operational
4532,19582,Health Matters Medical Centre,Nairobi,Medical Clinic,Private Practice - General Practitioner,Central,Central,STAREHE,N,Y,Operational
4534,17954,Health Services Limited,Nairobi,Dispensary,Private Practice - General Practitioner,Woodley,Woodley,DAGORETTI NORTH,N,Y,Operational
4538,18278,Healthways Medical Centre,Nairobi,Medical Clinic,Private Enterprise (Institution),Nairobi West,South C,LANG'ATA,N,Y,Operational
4544,21263,Hekima Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Githurai ,Githurai 44,ROYSAMBU,N,Y,Operational
4623,12970,Hope Community VCT,Nairobi,VCT Centre (Stand-Alone),Other Faith Based,Riruta setlite,,DAGORETTI SOUTH,N,N,Operational
4627,19278,Hope Medical Clinic ( Githurai),Nairobi,Medical Clinic,Private Practice - General Practitioner,Githurai,Githurai,ROYSAMBU,N,Y,Operational
4628,19234,Hope Medical Clinic (Babadogo),Nairobi,Medical Clinic,Private Practice - Nurse / Midwife,Ruaraka, Ruaraka,RUARAKA,N,Y,Operational
4642,17684,Hope World Wide Kenya Mukuru Clinic,Nairobi,Dispensary,Non-Governmental Organizations,Mukuru,Imara Daima,EMBAKASI SOUTH,Y,Y,Operational
4645,18543,Hope Worldwide Kenya VCT (Makadara),Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Maringo,Maringo,MAKADARA,N,N,Operational
4646,19373,Horeb Medical Clinic ( Hunters),Nairobi,Medical Clinic,Private Practice - General Practitioner,kasarani,kasarani,KASARANI,N,Y,Operational
4648,19643,Horseet Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Eastleigh North,Eastleigh North,KAMUKUNJI,N,Y,Operational
4653,20063,Hoymas VCT (Nairobi),Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Pangani,Pangani,STAREHE,N,Y,Operational
4656,17393,Huduma Health Centre,Nairobi,Maternity Home,Private Practice - Clinical Officer,Sarang'ombe,Sarang'ombe,LANG'ATA,Y,Y,Operational
4664,19302,Hunters Medical Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,kasarani,kasarani,KASARANI,N,Y,Operational
4666,12973,Huruma (EDARP),Nairobi,VCT Centre (Stand-Alone),Kenya Episcopal Conference-Catholic Secretariat,Huruma,,MATHARE,N,N,Operational
4667,12972,Huruma (NCCK) Dispensary,Nairobi,Dispensary,Christian Health Association of Kenya,Huruma,,MATHARE,Y,Y,Operational
4672,12974,Huruma Lions Dispensary,Nairobi,Dispensary,Local Authority,Huruma,Kia Maiko,MATHARE,N,N,Operational
4673,12975,Huruma Maternity Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Mathare,,MATHARE,N,N,Operational
4684,12976,Huruma Nursing Home & Maternity,Nairobi,Nursing Home,Private Enterprise (Institution),Huruma,Ngei,MATHARE,Y,Y,Operational
4686,20556,I Choose Life - Africa(Kileleshwa),Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Riverside,Riverside,DAGORETTI NORTH,N,N,Operational
4687,18201,I Choose Life Africa,Nairobi,Medical Clinic,Private Enterprise (Institution),Mukuru,MUkuru Kwa Njenga,EMBAKASI SOUTH,N,Y,Operational
4709,20145,IDEWES,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Kibera,Makina,LANG'ATA,N,Y,Operational
4710,12980,IDF Mathare Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Eastleigh Section I,,KAMUKUNJI,N,N,Operational
4742,19427,Goldmed Chemists & Clinic,Nairobi,Medical Clinic,Private Practice - Unspecified,Central,Central,STAREHE,N,N,Operational
4785,19539,Focus Outreach Medical Mission,Nairobi,Medical Clinic,Private Practice - Clinical Officer,parklands,,WESTLANDS,N,Y,Operational
4800,18612,Fremo Medical Centre,Nairobi,Health Centre,Private Practice - Clinical Officer,Riruta,Riruta,DAGORETTI SOUTH,Y,Y,Operational
4801,12944,Frepals Community Nursing Home,Nairobi,Maternity Home,Non-Governmental Organizations,Laini Saba,Mashimoni,LANG'ATA,Y,Y,Operational
4813,12945,Future Age Medical Services,Nairobi,Medical Clinic,Private Enterprise (Institution),Karen,Karen,LANG'ATA,N,Y,Operational
4837,12946,Gaimu Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Mathare,,STAREHE,N,N,Operational
4914,16803,Gatina United Clinic,Nairobi,Medical Clinic,Non-Governmental Organizations,Kawangware,Kawangware,DAGORETTI NORTH,N,N,Operational
4947,19611,Gedmed Medical Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),,,KAMUKUNJI,N,Y,Operational
4961,12949,Genessaret Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Umoja,Savannah,EMBAKASI WEST,N,N,Operational
4962,19287,Genus Medical Services & Diagnostic Lab,Nairobi,Medical Clinic,Private Practice - General Practitioner,Roysambu,Roysambu,ROYSAMBU,N,Y,Operational
4964,17725,Gertrude Komarock Clinic,Nairobi,Health Centre,Private Practice - General Practitioner,Keyole,Komarock,EMBAKASI CENTRAL,Y,Y,Operational
4966,19314,Gertrudes Chiildren Clinic (Pangani),Nairobi,Medical Clinic,Private Enterprise (Institution),Kariokor,Kariokor,STAREHE,N,Y,Operational
4969,12950,Gertrudes Childrens Hospital,Nairobi,Other Hospital,Private Enterprise (Institution),Muthaiga,,WESTLANDS,N,N,Operational
4970,12951,Gertrudes Othaya Road Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kilimani,,DAGORETTI NORTH,N,N,Operational
4993,12952,Getrude Donholm Clinic,Nairobi,Medical Clinic,Private Enterprise (Institution),Umoja,Savannah,EMBAKASI WEST,Y,Y,Operational
4994,18395,Getrude Embakasi Clinic,Nairobi,Medical Clinic,Private Practice - General Practitioner,Embakasi,Embakasi,EMBAKASI SOUTH,N,Y,Operational
4995,20886,Getrudes Children's Hospital,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Hamza,Hamza,MAKADARA,,,Operational
4996,12953,Getrudes Hospital (Nairobi West Clinic),Nairobi,Medical Clinic,Private Enterprise (Institution),Nairobi West,Nairobi West,LANG'ATA,N,Y,Operational
5009,16799,Gichago Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Kangemi,Gichagi,WESTLANDS,N,N,Operational
5026,21264,Imani 44 Medical Centre,Nairobi,Medical Clinic,Private Practice - Clinical Officer,Githurai ,Githurai 44,ROYSAMBU,N,Y,Operational
5030,19469,Imani Health Servises,Nairobi,Health Centre,Private Practice - Nurse / Midwife,Waithaka,Waithaka,DAGORETTI SOUTH,Y,Y,Operational
5041,19538,Gitanga Medical Centre,Nairobi,Dispensary,Private Enterprise (Institution),Kawagware,kawagware,DAGORETTI NORTH,N,N,Operational
5063,18887,Githogoro Runda Baptist Clinic (Getrudes Nairobi),Nairobi,Dispensary,Private Enterprise (Institution),Githogoro,Githogoro,WESTLANDS,N,N,Operational
5076,17942,Githurai Liverpool VCT,Nairobi,VCT Centre (Stand-Alone),Non-Governmental Organizations,Githurai,Githurai,ROYSAMBU,N,N,Operational
5077,12956,Githurai Medical Dispensary,Nairobi,Dispensary,Private Enterprise (Institution),Githurai,,ROYSAMBU,N,N,Operational
